id,name
1285,"Himalayan University, Itanagar"
1309,"Hindu College, Amritsar"
1363,"Haridev Joshi University of Journalism and Mass Communication, Jaipur"
1364,"Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun"
1498,"Herbal Cross Institute of Pharmacy, Cuttack"
1543,"Himalayan Institute of Management and Technology, New Delhi"
1597,"Hari Narayan Sah Bhuneshwar Janta College, Buxar"
1651,"Himachal Pradesh National Law University, Shimla"
1738,"Hind Mahila Vidyapeeth, Chandauli"
1801,"Hoshiarpur Institute of Management and Technology, Hoshiarpur"
1833,"Hosmat Educational Institute, Bangalore"
1860,"Hemchand Yadav Vishwavidyalaya, Durg"
1892,"Maharaja Agrasen Himalayan Garhwal University, Pauri"
2000,"Hanuman Vyayam Prasarak Mandal's College of Engineering and Technology, Amravati"
2060,"Hosur Institute of Technology and Science, Hosur"
2104,"Haji Mohammad Khasim Saheb and Mohammad Galab Saheb College of Engineering, Guntur"
2134,"HKE Society's SLN College of Engineering, Raichur"
2158,"Hooghly Institute of Technology, Hooghly"
2371,"Heeralal Yadav Institute of Technology and Management, Lucknow"
2391,"Himalayan Institute of Technology and Management, Lucknow"
2473,"Holy Grace Academy of Engineering, Mala"
2566,"HR Institute of Technology, Ghaziabad"
2567,"Hitkarini College of Engineering and Technology, Jabalpur"
2568,"Hindusthan College of Engineering and Technology, Coimbatore"
3523,"HKE Society's PDA College of Engineering, Gulbarga"
4255,"Hyderabad Institute of Technology and Management, Medchal"
4256,"Hooghly Engineering and Technology College, Hooghly"
4257,"Holycross Engineering College, Thoothukudi"
4258,"Holy Mary Institute of Technology and Science, Keesara"
4259,"Holy Mary Institute of Technology, Keesara"
4260,"Holy Kings College of Engineering and Technology, Ernakulam"
4261,"HMS Institute of Technology, Tumkur"
4262,"HMR Institute of Technology and Management, Delhi"
4263,"HMFA Memorial Institute of Engineering and Technology, Allahabad"
4264,"HKBK College of Engineering, Bangalore"
4265,"HJD Institute of Technical Education and Research, Kutch"
4266,"Hi-Tech Institute of Technology, Aurangabad"
2,Indian Institute of Technology Delhi
7,"IFTM University, Moradabad"
15,Indian Institute of Science Education and Research Mohali
35,"International Institute of Information Technology, Hyderabad"
38,International Institute of Information Technology Bangalore
41,"International Institute of Information Technology, Kolkata"
58,"The NorthCap University, Gurgaon"
61,"Indus International University, Una"
85,"Indira Gandhi Delhi Technical University for Women, Delhi"
103,Indian Institute of Technology Banaras Hindu University Varanasi
104,Indian Institute of Technology Indore
105,Indian Institute of Technology Mandi
106,Indian Institute of Technology Jodhpur
107,Indian Institute of Technology Patna
108,Indian Institute of Technology Gandhinagar
109,Indian Institute of Technology Hyderabad
110,Indian Institute of Technology Bhubaneswar
111,Indian Institute of Technology Ropar
112,Indian Institute of Technology Roorkee
113,Indian Institute of Technology Guwahati
114,Indian Institute of Technology Kanpur
115,Indian Institute of Technology Madras
116,Indian Institute of Technology Bombay
117,Indian Institute of Technology Kharagpur
118,Indian Institute of Science Education and Research Thiruvananthapuram
119,Indian Institute of Science Education and Research Bhopal
120,Indian Institute of Science Education and Research Kolkata
121,Indian Institute of Science Education and Research Pune
160,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior
191,"ITM University, Gwalior"
200,Indian Institute of Information Technology Design and Manufacturing Kancheepuram
219,"Islamic University of Science and Technology, Pulwama"
220,"International Institute of Information Technology, Bhubaneswar"
224,"Institute of Chemical Technology, Mumbai"
225,"Indraprastha Institute of Information Technology, Delhi"
226,Indian Institute of Technology Indian School of Mines Dhanbad
227,"Indian Institute of Space Science and Technology, Thiruvananthapuram"
228,Indian Institute of Information Technology Allahabad
229,"ICFAI Foundation for Higher Education, Hyderabad"
252,Indian Institute of Engineering Science and Technology Shibpur
268,PDPM Indian Institute of Information Technology Design and Manufacturing Jabalpur
315,"ICFAI University, Raipur"
316,"ITM University, Raipur"
328,"Institute of Advanced Studies in Education, Churu"
331,"ICFAI University, Jaipur"
345,"Indian Maritime University, Chennai"
354,"Integral University, Lucknow"
375,Indian Institute of Management Raipur
376,"ICFAI University, Dehradun"
377,"Institute of Management Studies, Dehradun"
14,"Jawaharlal Nehru Architecture and Fine Arts University, Hyderabad"
34,"Jawaharlal Nehru Technological University, Hyderabad"
43,"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur"
86,"Jai Narain Vyas University, Jodhpur"
123,"Jodhpur National University, Jodhpur"
157,"Jaypee University of Information Technology, Solan"
158,"Jaypee University of Engineering and Technology, Guna"
159,"Jaipur National University, Jaipur"
161,"JC Bose University of Science and Technology, YMCA, Faridabad"
182,"JSS Science and Technology University, Mysuru"
216,"Jaypee Institute of Information Technology, Noida"
217,"Jamia Hamdard, New Delhi"
218,"JB Women's Engineering College, Tirupati"
222,"Jiwaji University, Gwalior"
269,"Jayoti Vidyapeeth Women's University, Jaipur"
274,"JK Lakshmipat University, Jaipur"
283,"Jawaharlal Nehru Technological University, Kakinada"
284,"Jawaharlal Nehru Technological University, Anantapur"
329,"Janardan Rai Nagar Rajasthan Vidyapeeth, Udaipur"
332,"Jagannath University, Jaipur"
333,"JECRC University, Jaipur"
392,"Jawaharlal Nehru Institute of Business Management, Ujjain"
419,"Jagdish Sheth School of Management, Bangalore"
472,"University of Jammu, Jammu"
474,"JV Institute of Management Studies, Jamnagar"
519,"JK Padampat Singhania Institute of Management and Technology, Gurgaon"
524,"Jaipuria Institute of Management, Noida"
536,"Jagan Institute of Management Studies, Jaipur"
537,"Jaipuria Institute of Management, Jaipur"
549,"Jaipuria Institute of Management, Lucknow"
578,"Jaipuria Institute of Management, Indore"
596,"Jamia Millia Islamia, New Delhi"
614,"JD Institute of Fashion Technology, Delhi"
616,Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry
716,"Jagannath University, Jhajjar"
742,"Jagadguru Rambhadracharya Handicapped University, Chitrakoot Dham"
772,"Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore"
805,"Jharkhand Rai University, Ranchi"
876,"Jawaharlal Nehru University, New Delhi"
892,"Jadavpur University, Kolkata"
896,"JSS Academy of Higher Education and Research, Mysuru"
988,"Jai Prakash Vishwavidyalaya, Chapra"
1121,"Jain Deemed to be University, Bangalore"
1154,"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur"
1155,"Jain Vishva Bharati Institute, Ladnun"
1163,"Junagadh Agricultural University, Junagadh"
1200,"Jagran Lakecity University, Bhopal"
1237,"J M Patel College of Arts, Commerce and Science College, Bhandara"
1367,"Jaypee University, Anoopshahr"
1416,"JD Institute of Fashion Technology, Bangalore"
33,"Koneru Lakshmaiah Education Foundation, Guntur"
84,"Kishan Institute of Engineering and Technology, Meerut"
88,"Kakatiya University, Warangal"
98,"KLE Technological University, Hubballi"
156,"Karunya Institute of Technology and Sciences, Coimbatore"
169,"University of Kalyani, Kalyani"
213,"KIMS College of Engineering, Amalapuram"
214,"Kalinga Institute of Industrial Technology, Bhubaneswar"
215,"Kalasalingam Academy of Research and Education, Virudhunagar"
293,"Krishna's Pragati Institute of Technology, Rajahmundry"
306,"KDGM's Dr Uttamrao Mahajan Institute of Engineering and Technology, Chalisgaon"
317,"Kalinga University, Raipur"
343,"Karpagam Academy of Higher Education, Coimbatore"
421,"KKECS Institute of Management, Banaglore"
517,"Kirloskar Institute of Advanced Management Studies, Pune"
556,"Kirloskar Institute of Management, Harihar"
607,"King George's Medical University, Lucknow"
615,"Krishna Vishwa Vidyapeeth, Karad"
657,"Kejriwal Institute of Management and Development Studies, Ranchi"
662,"The Assam Kaziranga University, Jorhat"
751,"KLE Academy of Higher Education and Research, Belgaum"
762,"Kumaun University, Nainital"
766,"Kerala Agricultural University, Thrissur"
793,"K R Mangalam University, Gurugram"
816,"KLE Society's BV Bellad Law College, Belagavi"
817,"KLE Society's Gurusiddappa Kotambri Law College, Hubli"
826,"KMCT Law College, Malappuram"
879,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
883,"Kurukshetra University, Kurukshetra"
886,"University of Kerala, Thiruvananthapuram"
907,"University of Kashmir, Srinagar"
909,"Kuvempu University, Shankaraghatta"
911,"Karnataka University, Dharwad"
920,"Krishna University, Machilipatnam"
998,"Karnataka Samskrit University, Bangalore"
999,"Karnataka State Dr Gangubai Hangal Music and Performing Arts University, Mysore"
