College_Name,State,Stream,Degree,Fee,cluster
"University Institute of Engineering and Technology -[UIET], ",12,3,1,-0.1253703104002328,2
"Starex University, Gurgaon ",12,3,1,-0.13356713039962045,2
Indian Institute of Information Technology ,12,3,1,0.15669804754865355,2
"SRM University Delhi NCR, Sonepat ",12,3,1,0.5827685272619297,2
"Lingaya's Vidyapeeth, Faridabad ",12,3,1,0.0697677307595175,2
Modern Vidya Niketan ,12,3,1,0.07163318820134446,2
Delhi Technical Campus ,12,3,1,-0.17274173667798648,2
Chandigarh College of Engineering and Technology ,12,3,1,-0.19236634896600602,2
Manav Rachna University ,12,3,1,0.4783029105196204,2
Seth Jai Parkash Mukand Lal Institute of ,12,3,1,-0.09965311410720643,2
"Sushant University / Ansal University, Gurgaon ",12,3,1,0.4675578756546971,2
"University Institute of Engineering and Technology, Maharshi ",12,3,1,-0.15487811621505157,2
St. Andrews Institute of Technology and Management ,12,3,1,-0.08879615179577356,2
Indian Institute of Technology ,11,3,1,0.532401176332602,2
Sardar Vallabhbhai National Institute of Technology ,11,3,1,0.12759691145615307,2
Dhirubhai Ambani Institute of Information and Communication ,11,3,1,0.1425205709907687,2
"Institute of Technology, Nirma University, Ahmedabad ",11,3,1,0.3036960939646175,2
"Faculty of Technology and Engineering, Maharaja Sayajirao ",11,3,1,-0.4035361313808172,2
Nirma University ,11,3,1,0.3036960939646175,2
Pandit Deendayal Petroleum University [PDPU] / (Energy ,11,3,1,0.5118811444725055,2
"Pandit Deendayal Petroleum University, School of Technology ",11,3,1,0.5118811444725055,2
Central Institute of plastics engineering & Technology- ,11,3,1,-0.18953085365442907,2
"CEPT University, Ahmedabad ",11,3,1,0.3066808258715406,2
Ganpat University ,11,3,1,-0.02910151365731104,2
"Indus University, Ahmedabad ",11,3,1,-0.07387249226115793,2
Navrachana University ,11,3,1,-0.006716024355387596,2
Indian Institute of Information Technology Vadodara ,11,3,1,0.23847970179834718,2
"Uka Tarsadia University, Bardoli ",11,3,1,-0.08133432202846574,2
"GSFC University, Vadodara ",11,3,1,0.02033310855110323,2
"Auro University, Surat ",11,3,1,0.019400379830189756,2
L.D. College of Engineering ,11,3,1,-0.42136990452468287,2
RK University ,11,3,1,-0.1466253324924091,2
Institute of Infrastructure Technology Research and Management ,11,3,1,-0.3234706979776043,2
Indian Institute of Information Technology ,11,3,1,0.11640416680519135,2
"C. U. Shah University, Wadhwan ",11,3,1,-0.14177514314365905,2
"P.P. Savani University, Surat ",11,3,1,-0.016043311564522364,2
Vishwakarma Government Engineering College ,11,3,1,-0.4264439487664522,2
Dharmsinh Desai University ,11,3,1,0.13505874122346087,2
Thapar Institute of Engineering and Technology ,26,3,1,0.779760833118856,1
Indian Institute of Technology ,26,3,1,0.3880147703351958,1
Panjab University ,26,3,1,-0.07275321779606175,1
Punjab Engineering College University of Technology ,26,3,1,-0.0710743060984175,1
I.K. Gujral Punjab Technical University ,26,3,1,-0.10092162516764876,1
Dr BR Ambedkar National Institute of Technology ,26,3,1,2.090058140258108,1
"University Institute of Engineering, Chandigarh University ",26,3,1,0.16490606029269214,1
Sant Longowal Institute of Engineering and Technology ,26,3,1,-0.12983621551596652,1
Chitkara University ,26,3,1,2.052748991421569,1
Chandigarh Group of Colleges ,26,3,1,-0.08133432202846574,1
"RIMT University, Gobindgarh ",26,3,1,0.07163318820134446,1
National Institute of Technical Teachers Training and ,26,3,1,-0.265283349452138,1
"Guru Kashi University, Bathinda ",26,3,1,-0.0862591296748889,1
"University Institute of Engineering and Technology -[UIET], ",26,3,1,-0.1253703104002328,1
"Rayat Bahra University, Mohali ",26,3,1,-0.0589488327265423,1
"DAV University, Jalandhar ",26,3,1,0.07536410308499837,1
"Plaksha, Mohali ",26,3,1,2.1422909486292627,1
Chandigarh Engineering College ,26,3,1,-0.08133432202846574,1
Sant Baba Bhag Singh University ,26,3,1,-0.12423984319048567,1
Chandigarh College of Engineering and Technology ,26,3,1,-0.19236634896600602,1
"Global Institute, Amritsar ",26,3,1,0.7543906119100094,1
"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",26,3,1,0.20445375805942356,1
Amritsar College of Engineering and Technology ,26,3,1,1.0716079189777992,1
Guru Nanak Dev Engineering College ,26,3,1,-0.06384006213901257,1
Sri Guru Granth Sahib World University ,26,3,1,-0.04402517319192667,1
Baba Banda Singh Bahadur Engineering College ,26,3,1,-0.09625798156308137,1
Indian Institute of Technology ,34,3,1,-0.12584413659045685,1
Jadavpur University ,34,3,1,-0.42308612537116363,1
Indian Institute of Engineering Science and Technology ,34,3,1,-0.17087627923615953,1
National Institute of Technology ,34,3,1,0.12423908806086455,1
Institute of Engineering and Management ,34,3,1,0.19624574531538497,1
Heritage Institute of Technology ,34,3,1,0.001491988388651,1
Maulana Abul Kalam Azad University of Technology ,34,3,1,-0.24922549179289158,1
Narula Institute of Technology ,34,3,1,0.05223243080634414,1
Haldia Institute of Technology ,34,3,1,0.0020516256211990857,1
"Amity University, Kolkata ",34,3,1,0.3402590598244258,1
"Techno India University, Kolkata ",34,3,1,-0.0992427134700045,1
"Adamas University, Kolkata ",34,3,1,0.21266177080346216,1
Sister Nivedita University ,34,3,1,0.12573145401432612,1
Asansol Engineering College ,34,3,1,0.06815597552977902,1
University of Engineering and Management ,34,3,1,0.16938315815307683,1
JIS College of Engineering ,34,3,1,0.05223243080634414,1
Kalyani Government Engineering College ,34,3,1,-0.37176739114650414,1
Indian Institute of Information Technology ,34,3,1,-0.36816705828377816,1
The Neotia University ,34,3,1,0.10521142215422963,1
Siliguri Institute of Technology ,34,3,1,1.0342092281840525,1
"University Institute of Technology, University Of Burdwan ",34,3,1,-0.16639918137577484,1
Jalpaiguri Government Engineering College ,34,3,1,-0.37653550036781386,1
"Techno India Salt Lake, Kolkata ",34,3,1,1.3729762996198271,1
Bengal College of Engineering and Technology ,34,3,1,-0.04551753914538823,1
Dr. B.C. Roy Engineering College ,34,3,1,-0.02544521707133021,1
Bengal College of Engineering ,34,3,1,-0.06454520505202316,1
Seacom Skills University ,34,3,1,-0.12610530063231262,1
National Institute of Technology ,24,3,1,0.40928098517202305,1
Indian Institute of Technology ,24,3,1,0.4211303708425079,1
Institute of Technical Education and Research ,24,3,1,0.5006883998215438,1
"C. V. Raman Global University, Bhubaneswar ",24,3,1,0.01193855006288194,1
Veer Surendra Sai University of Technology ,24,3,1,-0.09148241051200437,1
Centurion University of Technology and Management ,24,3,1,-0.0589488327265423,1
International Institute of Information Technology ,24,3,1,0.3182466620108677,1
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal ",24,3,1,-0.3033237576058732,1
Silicon Institute of Technology ,24,3,1,1.8065086091004112,1
Silicon Institute of Technology ,24,3,1,0.9857073346965517,1
Xavier University ,24,3,1,0.7170814630734704,1
Bhubaneswar Engineering College ,24,3,1,0.5081502295888516,1
College of Engineering ,24,3,1,0.6573868249350079,1
National Institute of Science and Technology ,24,3,1,0.021265837272016707,1
College of Engineering and Technology ,24,3,1,0.4447246765667352,1
Gandhi Institute for Technology ,24,3,1,-0.12983621551596652,1
Orissa Engineering College ,24,3,1,-0.10931618365587005,1
Parala Maharaja Engineering College ,24,3,1,-0.3074277639778925,1
GITA Autonomous College ,24,3,1,-0.02910151365731104,1
"Seemanta Engineering College, Mayurbhanj ",24,3,1,0.38876095331192656,1
"Trident Academy of Technology, Bhubaneswar ",24,3,1,-0.027982239192214868,1
"Government College of Engineering, Kendujhar ",24,3,1,0.09028776261961399,1
CIPET: Centre for Skilling and Technical Support ,24,3,1,-0.31011402269412336,1
"Vignan Institute of Technology And Management, Berhampur ",24,3,1,-0.2156472578400064,1
Krupajal Engineering College ,24,3,1,-0.1634144494688517,1
Indian Institute of Technology ,33,3,1,0.39510350861413823,1
"Graphic Era University, School of Engineering and ",33,3,1,0.4499479574038507,1
"College of Technology, GB Pant University of ",33,3,1,-0.1882474189344521,1
University of Petroleum and Energy Studies ,33,3,1,5.554212609730762,1
"Doon University, Dehradun ",33,3,1,-0.3023910288849598,1
DIT University ,33,3,1,0.3141426556388484,1
Graphic Era University ,33,3,1,0.7745375522817406,1
Graphic Era Hill University ,33,3,1,0.5961998208430839,1
"ICFAI University, Dehradun ",33,3,1,0.1499824007580765,1
"MotherHood University, Roorkee ",33,3,1,-0.16472026967813058,1
